Teams,Elo
Connecticut,1868.77
Stetson,1381.08
FAU,1623.97
Northwestern,1561.24
San Diego State,1613.23
UAB,1577.59
Auburn,1746.99
Yale,1541.1
BYU,1606.56
Duquesne,1597.51
Illinois,1745.29
Morehead State,1432
Washington State,1607.88
Drake,1650.32
Iowa State,1772.6
South Dakota State,1432.7
North Carolina,1733.59
Mississippi State,1576.78
Michigan State,1581.4
Saint Mary's College,1712.61
Grand Canyon,1606.82
Alabama,1636.17
Charleston,1609.62
Clemson,1539.54
New Mexico,1632.11
Baylor,1656.76
Colgate,1467.9
Dayton,1580.68
Nevada,1653.39
Arizona,1667.74
Long Beach State,1383.68
Houston,1826.95
Longwood,1354.67
Nebraska,1614.52
Texas A&M,1599.21
Wisconsin,1614.35
James Madison,1618.62
Duke,1656.81
Vermont,1589.07
Texas Tech,1638.02
North Carolina State,1598.17
Kentucky,1686.93
Oakland,1476.12
Florida,1653.84
Marquette,1712.56
Western Kentucky,1398.07
Purdue,1814.8
Utah State,1650.27
TCU,1562.85
Gonzaga,1686.75
McNeese,1506.63
Kansas,1622.41
Samford,1568.41
South Carolina,1654.38
Oregon,1619.81
Creighton,1677.01
Akron,1439.76
Texas,1590.38
Tennessee,1714.74
Saint Peter's,1376.99
